Citation,Title,URL,Notes,Whale species,Connection,Collected/observed in what?,Location,Method,Category from citation,Common name,Kingdom,Phylum,Class,Order,Infraorder,Family,Genus,Accepted Name,API_Response
Apprill et al. 2010,Humpback whales harbour a combination of specific and variable skin bacteria,https://enviromicro-journals.onlinelibrary.wiley.com/doi/full/10.1111/j.1758-2229.2010.00213.x?casa_token=DQt3e5j5484AAAAA%3AEnO4U5VpJ6uh9w6HFfFu8NoP8wkmHkBsOJt7aYC0UhZVNZHIvbqzTTMkjnxyYUhB6xubkVS8t0s1rJ8pmg,,humpback whales,skin-associated bacteria,skin,Hawaiian Islands,DNA,,,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,nan,Flavobacteriaceae,nan,,Response
Apprill et al. 2014,Humpback Whale Populations Share a Core Skin Bacterial Community: Towards a Health Index for Marine Mammals?,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0090785&utm_source=nationaltribune&utm_medium=nationaltribune&utm_campaign=news,,humpback whales,skin-associated bacteria,skin,Southeast Alaska & Hawaiian Islands,DNA,,,Bacteria,Bacteroidetes,Flavobacteria,,nan,,nan,,Response
Apprill et al. 2014,Humpback Whale Populations Share a Core Skin Bacterial Community: Towards a Health Index for Marine Mammals?,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0090785&utm_source=nationaltribune&utm_medium=nationaltribune&utm_campaign=news,,humpback whales,skin-associated bacteria,skin,Southeast Alaska & Hawaiian Islands,DNA,,,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,nan,Flavobacteriaceae,Tenacibaculum,,Response
Apprill et al. 2014,Humpback Whale Populations Share a Core Skin Bacterial Community: Towards a Health Index for Marine Mammals?,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0090785&utm_source=nationaltribune&utm_medium=nationaltribune&utm_campaign=news,,humpback whales,skin-associated bacteria,skin,Southeast Alaska & Hawaiian Islands,DNA,,,Bacteria,Proteobacteria,Gammaproteobacteria,,nan,,nan,,Response
Apprill et al. 2014,Humpback Whale Populations Share a Core Skin Bacterial Community: Towards a Health Index for Marine Mammals?,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0090785&utm_source=nationaltribune&utm_medium=nationaltribune&utm_campaign=news,,humpback whales,skin-associated bacteria,skin,Southeast Alaska & Hawaiian Islands,DNA,,,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,nan,Moraxellaceae,Psychrobacter,,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Forage fish,Pacific herring,Animalia,Chordata,Teleostei,Clupeiformes,nan,Clupeidae,nan,Clupea pallasii,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Forage fish,Eulachon,Animalia,Chordata,Teleostei,Osmeriformes,nan,Osmeridae,nan,Thaleichthys pacificus,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Forage fish,Pacific sandlance,Animalia,Chordata,Teleostei,Perciformes,nan,Ammodytidae,nan,Ammodytes personatus,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Forage fish,Northern anchovy,Animalia,Chordata,Teleostei,Clupeiformes,nan,Engraulidae,nan,Engraulis mordax,Response
Reidy et al. 2022,Fine-scale diversity of prey detected in humpback whale feces,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9680,,humpback whales,prey,feces,Vancouver Island,DNA & microscopy,Gadid,Pacific hake,Animalia,Chordata,Teleostei,Gadiformes,nan,Merlucciidae,nan,Merluccius productus,Response
