asv,n,prop,ncomp,eta
asv.10131,2,0.08,5,0.8597573927530197
asv.10390,1,0.04,5,0.8597573927530197
asv.10734,1,0.04,5,0.8597573927530197
asv.1093,1,0.04,5,0.8597573927530197
asv.12867,4,0.16,5,0.8597573927530197
asv.13377,5,0.2,5,0.8597573927530197
asv.13818,6,0.24,5,0.8597573927530197
asv.1438,1,0.04,5,0.8597573927530197
asv.14389,13,0.52,5,0.8597573927530197
asv.15093,2,0.08,5,0.8597573927530197
asv.15108,1,0.04,5,0.8597573927530197
asv.15303,2,0.08,5,0.8597573927530197
asv.15423,1,0.04,5,0.8597573927530197
asv.1549,2,0.08,5,0.8597573927530197
asv.15516,23,0.92,5,0.8597573927530197
asv.1627,1,0.04,5,0.8597573927530197
asv.16378,25,1,5,0.8597573927530197
asv.16434,21,0.84,5,0.8597573927530197
asv.16759,1,0.04,5,0.8597573927530197
asv.16904,2,0.08,5,0.8597573927530197
asv.17198,1,0.04,5,0.8597573927530197
asv.17424,1,0.04,5,0.8597573927530197
asv.1766,1,0.04,5,0.8597573927530197
asv.19511,1,0.04,5,0.8597573927530197
asv.1984,3,0.12,5,0.8597573927530197
asv.21151,3,0.12,5,0.8597573927530197
asv.21313,14,0.56,5,0.8597573927530197
asv.21948,3,0.12,5,0.8597573927530197
asv.22521,7,0.28,5,0.8597573927530197
asv.23086,2,0.08,5,0.8597573927530197
asv.23192,1,0.04,5,0.8597573927530197
asv.24380,1,0.04,5,0.8597573927530197
asv.24764,3,0.12,5,0.8597573927530197
asv.2492,11,0.44,5,0.8597573927530197
asv.2667,1,0.04,5,0.8597573927530197
asv.28138,23,0.92,5,0.8597573927530197
asv.28712,1,0.04,5,0.8597573927530197
asv.28794,2,0.08,5,0.8597573927530197
asv.289,3,0.12,5,0.8597573927530197
asv.29953,3,0.12,5,0.8597573927530197
asv.29975,1,0.04,5,0.8597573927530197
asv.30146,2,0.08,5,0.8597573927530197
asv.30978,1,0.04,5,0.8597573927530197
asv.31466,5,0.2,5,0.8597573927530197
asv.3184,1,0.04,5,0.8597573927530197
asv.33780,1,0.04,5,0.8597573927530197
asv.33902,13,0.52,5,0.8597573927530197
asv.34127,1,0.04,5,0.8597573927530197
asv.34266,3,0.12,5,0.8597573927530197
asv.34767,1,0.04,5,0.8597573927530197
asv.35244,5,0.2,5,0.8597573927530197
asv.35393,2,0.08,5,0.8597573927530197
asv.36095,3,0.12,5,0.8597573927530197
asv.36806,2,0.08,5,0.8597573927530197
asv.3697,2,0.08,5,0.8597573927530197
asv.38036,11,0.44,5,0.8597573927530197
asv.38490,1,0.04,5,0.8597573927530197
asv.38616,1,0.04,5,0.8597573927530197
asv.39226,1,0.04,5,0.8597573927530197
asv.3923,13,0.52,5,0.8597573927530197
asv.40529,1,0.04,5,0.8597573927530197
asv.40628,2,0.08,5,0.8597573927530197
asv.40927,1,0.04,5,0.8597573927530197
asv.41847,1,0.04,5,0.8597573927530197
asv.42403,4,0.16,5,0.8597573927530197
asv.42512,3,0.12,5,0.8597573927530197
asv.42998,1,0.04,5,0.8597573927530197
asv.43344,25,1,5,0.8597573927530197
asv.44750,11,0.44,5,0.8597573927530197
asv.4492,3,0.12,5,0.8597573927530197
asv.45955,1,0.04,5,0.8597573927530197
asv.46262,6,0.24,5,0.8597573927530197
asv.46639,1,0.04,5,0.8597573927530197
asv.46698,1,0.04,5,0.8597573927530197
asv.48749,2,0.08,5,0.8597573927530197
asv.49101,2,0.08,5,0.8597573927530197
asv.606,1,0.04,5,0.8597573927530197
asv.8198,3,0.12,5,0.8597573927530197
asv.821,1,0.04,5,0.8597573927530197
asv.8270,1,0.04,5,0.8597573927530197
asv.8867,2,0.08,5,0.8597573927530197
asv.9184,1,0.04,5,0.8597573927530197
asv.9448,4,0.16,5,0.8597573927530197
asv.9908,1,0.04,5,0.8597573927530197
