asv,n,prop,ncomp,eta
asv.10089,1,0.04,7,0.6107768013327781
asv.10113,1,0.04,7,0.6107768013327781
asv.10117,1,0.04,7,0.6107768013327781
asv.10125,5,0.2,7,0.6107768013327781
asv.10131,23,0.92,7,0.6107768013327781
asv.10340,8,0.32,7,0.6107768013327781
asv.10390,1,0.04,7,0.6107768013327781
asv.10494,2,0.08,7,0.6107768013327781
asv.10706,5,0.2,7,0.6107768013327781
asv.10734,5,0.2,7,0.6107768013327781
asv.10853,2,0.08,7,0.6107768013327781
asv.1088,1,0.04,7,0.6107768013327781
asv.1093,2,0.08,7,0.6107768013327781
asv.10970,5,0.2,7,0.6107768013327781
asv.11125,15,0.6,7,0.6107768013327781
asv.11165,7,0.28,7,0.6107768013327781
asv.11202,1,0.04,7,0.6107768013327781
asv.11293,2,0.08,7,0.6107768013327781
asv.11627,5,0.2,7,0.6107768013327781
asv.11766,1,0.04,7,0.6107768013327781
asv.1178,2,0.08,7,0.6107768013327781
asv.11822,5,0.2,7,0.6107768013327781
asv.11888,1,0.04,7,0.6107768013327781
asv.12052,1,0.04,7,0.6107768013327781
asv.12079,1,0.04,7,0.6107768013327781
asv.12680,1,0.04,7,0.6107768013327781
asv.12747,7,0.28,7,0.6107768013327781
asv.12798,12,0.48,7,0.6107768013327781
asv.12822,2,0.08,7,0.6107768013327781
asv.12867,24,0.96,7,0.6107768013327781
asv.13019,2,0.08,7,0.6107768013327781
asv.13097,2,0.08,7,0.6107768013327781
asv.13229,3,0.12,7,0.6107768013327781
asv.13377,23,0.92,7,0.6107768013327781
asv.13445,1,0.04,7,0.6107768013327781
asv.13499,1,0.04,7,0.6107768013327781
asv.13584,1,0.04,7,0.6107768013327781
asv.13666,7,0.28,7,0.6107768013327781
asv.13696,3,0.12,7,0.6107768013327781
asv.13766,1,0.04,7,0.6107768013327781
asv.13818,15,0.6,7,0.6107768013327781
asv.13823,8,0.32,7,0.6107768013327781
asv.13841,7,0.28,7,0.6107768013327781
asv.14277,1,0.04,7,0.6107768013327781
asv.1438,10,0.4,7,0.6107768013327781
asv.14389,25,1,7,0.6107768013327781
asv.14493,1,0.04,7,0.6107768013327781
asv.14839,1,0.04,7,0.6107768013327781
asv.14978,4,0.16,7,0.6107768013327781
asv.14993,3,0.12,7,0.6107768013327781
asv.15090,1,0.04,7,0.6107768013327781
asv.15093,11,0.44,7,0.6107768013327781
asv.15108,10,0.4,7,0.6107768013327781
asv.15164,1,0.04,7,0.6107768013327781
asv.15303,2,0.08,7,0.6107768013327781
asv.15367,2,0.08,7,0.6107768013327781
asv.15396,1,0.04,7,0.6107768013327781
asv.15423,7,0.28,7,0.6107768013327781
asv.1549,5,0.2,7,0.6107768013327781
asv.15516,4,0.16,7,0.6107768013327781
asv.15712,2,0.08,7,0.6107768013327781
asv.15732,3,0.12,7,0.6107768013327781
asv.15978,1,0.04,7,0.6107768013327781
asv.15986,1,0.04,7,0.6107768013327781
asv.16080,6,0.24,7,0.6107768013327781
asv.16124,2,0.08,7,0.6107768013327781
