cruise,observed,predicted
X201402,0,-1.798597382
X201404,0,-0.465161154
X201407,8.75768567,9.522692191
X201411,0.86467432,-0.966440886
X201501,0,-1.267728524
X201504,0,2.30694563
X201507,8.47943856,8.240189519
X201511,0,-2.174156111
X201601,0,0.317794084
X201604,3.89790111,1.745079156
X201607,12.9896986,14.24375692
X201611,0,0.748571198
X201701,1.94607125,2.701214673
X201704,0,4.070001525
X201708,23.3482477,19.44233328
X201711,0,1.498055237
X201802,0,-1.257588195
X201804,0,0.187117352
X201806,1.66846583,2.552416088
X201810,0,-0.893620888
X201902,0,-0.869313181
X201904,0,1.189514775
X201907,4.79259295,5.642825689
X201911,4.66021097,5.610280056
X202001,0,1.07880593
