d,p,c,o,f,g,weight,coef_estimates
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae, o__Gymnodiniphycidae, f__Gymnodinium_clade, g__Erythropsidinium,0.07447720204757347,-53.31775319729279
d__Eukaryota, p__Picozoa, c__Picomonadida, o__Picomonadida, f__Picomonadida, g__Picomonadida,0.015646428559992924,-6.17853372931305
d__Eukaryota, p__MAST-7, c__MAST-7B, o__MAST-7B, f__MAST-7B, g__MAST-7B,0.01685682304628604,-13.414490717058815
d__Eukaryota, p__Picozoa, c__Picomonadida, o__Picomonadida, f__Picomonadida, g__Picomonadida,0.007999267609421818,-4.632098628922916
d__Eukaryota,NA,NA,NA,NA,NA,0.016650154243805098,-11.409053860387512
d__Eukaryota, p__Prymnesiophyceae, c__Prymnesiophyceae, o__Prymnesiales, f__Prymnesiales, g__Chrysochromulina,0.004439006763407084,-6.893035694785924
d__Eukaryota, p__Prymnesiophyceae, c__Prymnesiophyceae, o__Prymnesiales, f__Prymnesiales,NA,0.013980018410113081,10.201140421958947
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae,NA,NA,NA,0.06954081189089538,170.31501291653143
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_II, g__Syndiniales_Group_II,0.012328908305769978,2.4256113567991204
d__Bacteria,NA,NA,NA,NA,NA,0.04912455577961726,-0.5486097497919487
d__Eukaryota, p__Prymnesiophyceae, c__Prymnesiophyceae, o__Prymnesiales, f__Prymnesiales,NA,0.005659550685210647,-1.7214833491611115
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae, o__Gymnodiniphycidae, f__Kareniaceae, g__Karlodinium,0.05816557121607865,57.01942867356986
d__Eukaryota, p__Arthropoda, c__Maxillopoda, o__Cyclopoida, f__Cyclopoida, g__Cyclopoida,0.04970728162789416,-40.327751988308606
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_I, g__Syndiniales_Group_I,0.0172771628497577,-15.545139535739954
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_III, g__Syndiniales_Group_III,0.0014964512046746167,-2.4462960047730435
d__Eukaryota, p__Incertae_Sedis, c__Incertae_Sedis, o__Incertae_Sedis, f__Incertae_Sedis, g__Telonema,0.016788129406536508,8.827062781245079
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales,NA,NA,0.04730979459458818,-57.212513161602004
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_II, g__Clade_II,0.17265170061908122,34.988263211664616
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.03247829967203622,-54.539629818185276
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_I, g__Syndiniales_Group_I,0.015482155450130548,14.552119248238132
d__Eukaryota, p__Kathablepharidae, c__Kathablepharidae, o__Kathablepharidae, f__Kathablepharidae, g__Leucocryptos,0.009893428399792716,-0.6209436961213217
d__Eukaryota, p__Ascomycota, c__Schizosaccharomycetes, o__Schizosaccharomycetales, f__Schizosaccharomycetaceae, g__Schizosaccharomyces,0.42260559816482324,-80.98497967498281
d__Eukaryota, p__Ochrophyta, c__MOCH-2, o__MOCH-2, f__MOCH-2, g__MOCH-2,0.001624996981045476,0.6078752683746489
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_I, g__Syndiniales_Group_I,0.008892299140840684,-10.852886514317118
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_II, g__Syndiniales_Group_II,0.025650021296677202,-14.770833746161138
d__Eukaryota, p__Picozoa, c__Picomonadida, o__Picomonadidae, f__Picomonadidae, g__Picomonas,0.041916265800941696,-19.423043117736796
d__Eukaryota, p__Dinoflagellata, c__Dinophyceae, o__Gymnodiniphycidae, f__Gymnodinium_clade, g__Erythropsidinium,0.052160352342317716,22.53872539229983
d__Eukaryota, p__Dinoflagellata, c__Dinoflagellata, o__Dinoflagellata, f__Dinoflagellata, g__Dinoflagellata,0.016707111474340078,2.6316578097659598
d__Eukaryota, p__Holozoa, c__Choanoflagellida, o__Acanthoecida, f__Stephanoecidae, g__Stephanoecidae,0.0018864717549565728,-1.905109662847336
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_III, g__Syndiniales_Group_III,0.029436561278686855,-34.84600822934084
d__Eukaryota, p__Retaria, c__RAD_B, o__RAD_B, f__RAD_B, g__RAD_B,0.04890303025919233,22.98664925899793
d__Eukaryota, p__Prymnesiophyceae, c__Prymnesiophyceae, o__Prymnesiales, f__Prymnesiales,NA,0.012520401602672546,7.103291369943397
d__Eukaryota, p__Prymnesiophyceae, c__Prymnesiophyceae, o__Prymnesiales, f__Prymnesiales, g__Chrysochromulina,0.008120375307463,0.09448106676109391
d__Eukaryota, p__Incertae_Sedis, c__Incertae_Sedis, o__Incertae_Sedis, f__Incertae_Sedis, g__Palpitomonas,0.0033944163258262765,-0.7041838814975667
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_II, g__Syndiniales_Group_II,0.052836452124759126,21.28732153666346
d__Eukaryota, p__Holozoa, c__Choanoflagellida, o__Acanthoecida, f__Stephanoecidae, g__Marine_Choanoflagellates_1,0.002815960892592753,-1.3938306202369248
d__Archaea, p__Thermoplasmatota, c__Thermoplasmata, o__Marine_Group_II, f__Marine_Group_II, g__Marine_Group_II,0.03507855255437177,22.117642145314512
d__Eukaryota, p__Protalveolata, c__Syndiniales, o__Syndiniales, f__Syndiniales_Group_II, g__Syndiniales_Group_II,0.048981208800696695,-83.0099689596679
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Parvibaculales, f__OCS116_clade, g__OCS116_clade,0.05805433539972671,-5.60714907015961
d__Eukaryota, p__Diatomea, c__Bacillariophyceae, o__Bacillariophyceae, f__Bacillariophyceae,NA,0.003426439107093176,-8.061340477125578
